gameId,teamId,teamTricode,teamName,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,quarter,finalPoints
22200135,1610612752,NYK,Knicks,12,24,5,10,0,0,2,10,12,7,3,2,4,2,29,-3.0,1.0,118.0
22200135,1610612738,BOS,Celtics,11,22,8,15,2,2,1,5,6,8,1,0,4,4,32,3.0,1.0,133.0
22200135,1610612738,BOS,Celtics,25,46,13,27,4,4,5,11,16,17,3,0,8,10,67,1.0,2.0,133.0
22200135,1610612752,NYK,Knicks,24,46,9,17,9,10,7,16,23,14,3,3,8,5,66,-1.0,2.0,118.0
22200135,1610612738,BOS,Celtics,37,67,21,41,6,6,5,18,23,25,4,2,10,13,101,5.0,3.0,133.0
22200135,1610612752,NYK,Knicks,36,68,10,22,14,15,9,25,34,19,4,3,10,8,96,-5.0,3.0,118.0
22200964,1610612747,LAL,Lakers,12,27,3,11,6,8,4,10,14,8,1,1,0,4,33,15.0,1.0,113.0
22200964,1610612744,GSW,Warriors,6,23,3,12,3,4,2,7,9,4,0,2,4,7,18,-15.0,1.0,105.0
22200964,1610612744,GSW,Warriors,18,45,11,24,7,9,2,18,20,13,0,3,6,12,54,-1.0,2.0,105.0
22200964,1610612747,LAL,Lakers,22,50,4,16,7,10,6,17,23,16,1,2,3,10,55,1.0,2.0,113.0
22200964,1610612744,GSW,Warriors,26,70,13,39,7,9,6,30,36,20,2,5,10,13,72,-6.0,3.0,105.0
22200964,1610612747,LAL,Lakers,31,75,8,24,8,12,9,28,37,21,2,2,6,10,78,6.0,3.0,113.0
22200539,1610612766,CHA,Hornets,8,23,1,11,5,5,0,8,8,6,3,0,2,2,22,-10.0,1.0,106.0
22200539,1610612751,BKN,Nets,15,23,1,6,1,1,0,14,14,7,0,2,4,5,32,10.0,1.0,123.0
22200539,1610612751,BKN,Nets,25,42,3,14,8,10,0,23,23,12,3,3,8,12,61,12.0,2.0,123.0
22200539,1610612766,CHA,Hornets,17,47,2,18,13,14,5,18,23,13,4,0,7,9,49,-12.0,2.0,106.0
22200539,1610612751,BKN,Nets,38,62,8,24,13,17,2,31,33,20,4,4,9,13,97,18.0,3.0,123.0
22200539,1610612766,CHA,Hornets,28,70,7,32,16,17,7,23,30,23,5,1,8,14,79,-18.0,3.0,106.0
22200339,1610612766,CHA,Hornets,9,24,2,6,4,4,3,6,9,3,2,3,2,2,24,-6.0,1.0,97.0
22200339,1610612749,MIL,Bucks,12,24,3,7,3,4,4,12,16,7,0,3,6,3,30,6.0,1.0,108.0
22200339,1610612749,MIL,Bucks,24,44,7,15,4,6,4,23,27,16,1,5,12,8,59,14.0,2.0,108.0
22200339,1610612766,CHA,Hornets,16,48,3,15,10,11,6,14,20,5,5,4,5,7,45,-14.0,2.0,97.0
22200339,1610612749,MIL,Bucks,33,66,13,25,8,10,7,31,38,22,3,6,16,12,87,13.0,3.0,108.0
22200339,1610612766,CHA,Hornets,26,67,4,19,18,20,7,23,30,11,6,4,8,10,74,-13.0,3.0,97.0
22201055,1610612752,NYK,Knicks,12,21,4,12,8,9,2,7,9,8,3,1,3,2,36,8.0,1.0,116.0
22201055,1610612743,DEN,Nuggets,12,24,1,6,3,4,3,7,10,6,1,0,3,5,28,-8.0,1.0,110.0
22201055,1610612743,DEN,Nuggets,26,47,5,14,10,12,4,15,19,18,2,0,4,9,67,5.0,2.0,110.0
22201055,1610612752,NYK,Knicks,22,47,5,21,13,14,9,15,24,14,3,1,7,9,62,-5.0,2.0,116.0
22201055,1610612743,DEN,Nuggets,36,67,8,23,11,13,5,23,28,24,2,1,10,16,91,0.0,3.0,110.0
22201055,1610612752,NYK,Knicks,31,68,9,29,20,22,14,20,34,20,6,3,9,12,91,0.0,3.0,116.0
22200083,1610612751,BKN,Nets,11,23,1,10,3,4,1,10,11,9,2,2,2,6,26,0.0,1.0,116.0
22200083,1610612754,IND,Pacers,8,22,3,9,7,8,3,10,13,5,2,0,3,6,26,0.0,1.0,125.0
22200083,1610612751,BKN,Nets,24,45,8,24,6,9,2,18,20,19,3,3,6,10,62,-1.0,2.0,116.0
22200083,1610612754,IND,Pacers,19,45,11,21,14,15,5,18,23,14,6,0,5,9,63,1.0,2.0,125.0
22200083,1610612751,BKN,Nets,35,68,13,33,7,11,5,22,27,27,6,7,8,14,90,-2.0,3.0,116.0
22200083,1610612754,IND,Pacers,30,70,18,34,14,17,12,28,40,22,7,1,8,13,92,2.0,3.0,125.0
22200740,1610612744,GSW,Warriors,15,27,3,11,1,1,0,11,11,13,3,0,2,5,34,-2.0,1.0,129.0
22200740,1610612761,TOR,Raptors,14,28,5,7,3,5,3,12,15,7,1,0,3,3,36,2.0,1.0,117.0
22200740,1610612744,GSW,Warriors,26,49,6,22,5,7,2,23,25,21,4,0,4,10,63,1.0,2.0,129.0
22200740,1610612761,TOR,Raptors,24,55,8,18,6,12,7,20,27,11,2,1,4,9,62,-1.0,2.0,117.0
22200740,1610612744,GSW,Warriors,38,70,13,34,9,13,4,31,35,32,5,0,9,13,98,4.0,3.0,129.0
22200740,1610612761,TOR,Raptors,37,82,11,27,9,15,12,27,39,19,3,2,6,14,94,-4.0,3.0,117.0
22201014,1610612743,DEN,Nuggets,13,25,2,9,2,3,7,9,16,6,0,0,6,4,30,0.0,1.0,120.0
22201014,1610612751,BKN,Nets,11,21,5,12,3,3,1,2,3,8,4,0,2,3,30,0.0,1.0,122.0
22201014,1610612743,DEN,Nuggets,29,49,7,14,4,5,8,17,25,17,2,1,9,11,69,8.0,2.0,120.0
22201014,1610612751,BKN,Nets,21,39,8,20,11,13,1,7,8,16,6,0,5,7,61,-8.0,2.0,122.0
22201014,1610612743,DEN,Nuggets,34,68,9,24,10,14,12,23,35,20,3,2,13,17,87,-11.0,3.0,120.0
22201014,1610612751,BKN,Nets,33,58,12,29,20,22,2,18,20,23,9,1,6,14,98,11.0,3.0,122.0
22200246,1610612742,DAL,Mavericks,8,18,4,10,5,10,2,7,9,5,1,1,4,5,25,0.0,1.0,97.0
22200246,1610612743,DEN,Nuggets,9,19,1,6,6,8,1,11,12,5,3,0,3,5,25,0.0,1.0,98.0
22200246,1610612742,DAL,Mavericks,19,38,10,21,8,13,2,15,17,13,1,3,8,9,56,1.0,2.0,97.0
22200246,1610612743,DEN,Nuggets,22,42,3,12,8,10,2,19,21,13,6,2,5,10,55,-1.0,2.0,98.0
22200246,1610612742,DAL,Mavericks,26,59,11,30,11,19,5,22,27,17,3,3,10,11,74,-5.0,3.0,97.0
22200246,1610612743,DEN,Nuggets,32,64,7,19,8,11,4,31,35,20,8,5,11,15,79,5.0,3.0,98.0
42200104,1610612748,MIA,Heat,11,19,4,6,2,6,1,10,11,5,0,2,5,4,28,-5.0,1.0,119.0
42200104,1610612749,MIL,Bucks,12,25,6,13,3,3,3,8,11,8,4,2,2,4,33,5.0,1.0,114.0
42200104,1610612748,MIA,Heat,18,43,10,23,4,8,4,20,24,9,3,2,8,10,50,-7.0,2.0,119.0
42200104,1610612749,MIL,Bucks,21,47,8,22,7,8,7,17,24,15,5,5,6,7,57,7.0,2.0,114.0
42200104,1610612748,MIA,Heat,30,69,10,28,8,12,7,27,34,15,5,4,11,14,78,-11.0,3.0,119.0
42200104,1610612749,MIL,Bucks,33,70,10,31,13,15,11,27,38,20,8,6,10,11,89,11.0,3.0,114.0
22200682,1610612757,POR,Trail Blazers,6,22,0,6,2,2,1,10,11,3,0,0,5,3,14,-12.0,1.0,95.0
22200682,1610612755,PHI,76ers,10,25,2,10,4,4,1,13,14,6,2,2,1,4,26,12.0,1.0,105.0
22200682,1610612755,PHI,76ers,23,49,4,15,7,8,4,20,24,12,5,5,4,9,57,23.0,2.0,105.0
22200682,1610612757,POR,Trail Blazers,13,42,1,14,7,10,5,17,22,9,1,2,11,7,34,-23.0,2.0,95.0
22200682,1610612755,PHI,76ers,33,68,6,20,7,10,4,28,32,18,7,6,8,17,79,14.0,3.0,105.0
22200682,1610612757,POR,Trail Blazers,23,63,5,26,14,20,10,27,37,16,3,3,14,9,65,-14.0,3.0,95.0
22200637,1610612750,MIN,Timberwolves,15,25,2,6,3,4,2,8,10,7,3,1,2,3,35,10.0,1.0,121.0
22200637,1610612756,PHX,Suns,11,20,3,6,0,0,1,6,7,9,1,1,5,5,25,-10.0,1.0,116.0
22200637,1610612750,MIN,Timberwolves,27,47,6,15,4,6,3,18,21,14,5,2,5,7,64,15.0,2.0,121.0
22200637,1610612756,PHX,Suns,20,46,8,13,1,1,6,15,21,15,4,1,10,10,49,-15.0,2.0,116.0
22200637,1610612750,MIN,Timberwolves,39,72,8,23,6,8,3,27,30,22,12,3,9,12,92,17.0,3.0,121.0
22200637,1610612756,PHX,Suns,30,66,9,15,6,7,7,25,32,20,7,3,17,13,75,-17.0,3.0,116.0
22200590,1610612747,LAL,Lakers,15,26,3,7,4,7,2,10,12,8,1,2,2,4,37,9.0,1.0,130.0
22200590,1610612737,ATL,Hawks,9,22,2,5,8,8,1,10,11,3,2,2,4,5,28,-9.0,1.0,114.0
22200590,1610612737,ATL,Hawks,16,49,2,15,15,17,3,18,21,8,3,3,6,8,49,-21.0,2.0,114.0
22200590,1610612747,LAL,Lakers,29,51,6,15,6,10,3,27,30,19,3,2,7,11,70,21.0,2.0,130.0
22200590,1610612737,ATL,Hawks,30,74,6,24,16,18,6,24,30,16,8,4,10,12,82,-16.0,3.0,114.0
22200590,1610612747,LAL,Lakers,39,72,11,25,9,13,7,35,42,24,6,4,14,13,98,16.0,3.0,130.0
22201202,1610612766,CHA,Hornets,10,20,3,9,3,3,2,8,10,4,4,4,9,4,26,1.0,1.0,109.0
22201202,1610612745,HOU,Rockets,10,21,0,3,5,6,2,5,7,4,6,0,6,4,25,-1.0,1.0,116.0
22201202,1610612745,HOU,Rockets,22,51,2,9,11,13,8,18,26,9,8,3,8,10,57,8.0,2.0,116.0
22201202,1610612766,CHA,Hornets,18,44,5,18,8,12,3,19,22,10,5,5,12,8,49,-8.0,2.0,109.0
22201202,1610612745,HOU,Rockets,33,70,6,17,15,19,11,28,39,17,11,6,16,17,87,14.0,3.0,116.0
22201202,1610612766,CHA,Hornets,27,66,5,26,14,20,6,25,31,15,9,5,17,15,73,-14.0,3.0,109.0
22200577,1610612742,DAL,Mavericks,5,19,1,9,9,12,2,6,8,2,1,1,2,3,20,-9.0,1.0,95.0
22200577,1610612738,BOS,Celtics,12,24,5,12,0,0,4,11,15,9,1,0,4,9,29,9.0,1.0,124.0
22200577,1610612738,BOS,Celtics,22,48,10,23,10,12,9,21,30,17,1,3,6,15,64,18.0,2.0,124.0
22200577,1610612742,DAL,Mavericks,15,43,2,16,14,18,4,15,19,4,2,2,3,10,46,-18.0,2.0,95.0
22200577,1610612738,BOS,Celtics,28,63,14,36,19,23,10,34,44,22,4,4,11,18,89,24.0,3.0,124.0
22200577,1610612742,DAL,Mavericks,22,66,4,26,17,22,8,23,31,9,4,2,7,15,65,-24.0,3.0,95.0
22200469,1610612738,BOS,Celtics,8,24,1,8,5,6,6,10,16,4,0,0,6,3,22,-20.0,1.0,112.0
22200469,1610612754,IND,Pacers,16,26,8,11,2,3,1,10,11,12,2,0,1,7,42,20.0,1.0,120.0
22200469,1610612738,BOS,Celtics,16,47,3,15,8,10,10,19,29,8,1,3,11,5,43,-28.0,2.0,112.0
22200469,1610612754,IND,Pacers,29,57,10,21,3,4,7,20,27,19,6,1,3,11,71,28.0,2.0,120.0
22200469,1610612738,BOS,Celtics,28,69,9,28,20,23,16,26,42,17,6,4,14,7,85,-15.0,3.0,112.0
22200469,1610612754,IND,Pacers,40,80,15,30,5,6,11,25,36,24,9,1,9,19,100,15.0,3.0,120.0
1522200038,1610612746,LAC,Clippers,8,18,4,7,7,10,3,10,13,6,1,1,1,2,27,8.0,1.0,72.0
1522200038,1610612747,LAL,Lakers,8,24,0,5,3,4,6,5,11,2,1,1,1,6,19,-8.0,1.0,83.0
1522200038,1610612746,LAC,Clippers,14,33,7,13,11,19,4,14,18,11,4,2,5,9,46,3.0,2.0,72.0
1522200038,1610612747,LAL,Lakers,16,44,4,15,7,10,11,13,24,6,2,2,5,13,43,-3.0,2.0,83.0
1522200038,1610612746,LAC,Clippers,19,48,8,17,16,27,5,22,27,13,6,3,8,16,62,0.0,3.0,72.0
1522200038,1610612747,LAL,Lakers,25,62,4,16,8,12,11,21,32,11,3,3,8,19,62,0.0,3.0,83.0
22200876,1610612737,ATL,Hawks,8,28,0,8,5,7,3,9,12,5,2,3,1,3,21,-16.0,1.0,103.0
22200876,1610612752,NYK,Knicks,14,27,6,14,3,4,2,14,16,5,1,1,2,7,37,16.0,1.0,122.0
22200876,1610612737,ATL,Hawks,20,53,1,15,5,8,5,16,21,11,2,4,1,7,46,-20.0,2.0,103.0
22200876,1610612752,NYK,Knicks,27,53,9,26,3,5,5,25,30,11,1,2,2,11,66,20.0,2.0,122.0
22200876,1610612737,ATL,Hawks,30,73,3,20,15,20,6,25,31,18,4,5,2,13,78,-13.0,3.0,103.0
22200876,1610612752,NYK,Knicks,36,79,9,33,10,13,10,33,43,11,1,3,5,18,91,13.0,3.0,122.0
52200201,1610612748,MIA,Heat,10,19,4,8,5,5,1,10,11,9,2,0,4,6,29,8.0,1.0,102.0
52200201,1610612741,CHI,Bulls,7,18,3,11,4,4,1,7,8,7,2,0,5,5,21,-8.0,1.0,91.0
52200201,1610612741,CHI,Bulls,17,39,5,16,5,5,1,14,15,14,2,0,5,9,44,-5.0,2.0,91.0
52200201,1610612748,MIA,Heat,16,36,7,16,10,10,4,20,24,12,2,0,8,10,49,5.0,2.0,102.0
52200201,1610612741,CHI,Bulls,28,62,5,21,7,9,4,26,30,20,4,1,7,14,68,1.0,3.0,91.0
52200201,1610612748,MIA,Heat,22,62,8,25,15,15,9,30,39,16,4,1,11,15,67,-1.0,3.0,102.0
22200517,1610612737,ATL,Hawks,12,26,4,6,2,2,3,10,13,7,1,0,1,2,30,-1.0,1.0,107.0
22200517,1610612751,BKN,Nets,14,24,3,6,0,2,1,11,12,6,0,4,2,1,31,1.0,1.0,108.0
22200517,1610612737,ATL,Hawks,26,50,6,11,5,5,3,17,20,15,3,2,1,8,63,7.0,2.0,107.0
22200517,1610612751,BKN,Nets,21,39,6,12,8,11,2,18,20,11,0,7,8,5,56,-7.0,2.0,108.0
22200517,1610612737,ATL,Hawks,33,77,6,17,8,12,8,26,34,19,5,4,2,12,80,-3.0,3.0,107.0
22200517,1610612751,BKN,Nets,31,62,8,20,13,16,5,34,39,18,0,11,10,11,83,3.0,3.0,108.0
22201225,1610612750,MIN,Timberwolves,8,21,2,12,0,0,0,6,6,6,1,1,5,4,18,-12.0,1.0,113.0
22201225,1610612740,NOP,Pelicans,12,28,2,9,4,4,6,10,16,7,4,1,3,2,30,12.0,1.0,108.0
22201225,1610612740,NOP,Pelicans,23,49,2,11,7,7,7,21,28,11,7,2,9,9,55,8.0,2.0,108.0
22201225,1610612750,MIN,Timberwolves,17,43,5,21,8,11,3,15,18,13,4,2,9,7,47,-8.0,2.0,113.0
22201225,1610612740,NOP,Pelicans,33,70,3,14,16,18,10,27,37,14,10,3,11,13,85,2.0,3.0,108.0
22201225,1610612750,MIN,Timberwolves,31,63,10,29,11,17,5,23,28,20,5,7,13,15,83,-2.0,3.0,113.0
22200887,1610612754,IND,Pacers,12,23,4,13,3,3,2,4,6,8,4,1,3,2,31,-3.0,1.0,128.0
22200887,1610612738,BOS,Celtics,12,20,5,10,5,5,4,9,13,8,2,2,7,5,34,3.0,1.0,125.0
22200887,1610612738,BOS,Celtics,26,50,9,21,7,8,11,16,27,14,5,4,9,9,68,7.0,2.0,125.0
22200887,1610612754,IND,Pacers,23,42,9,20,6,7,2,11,13,14,6,2,9,7,61,-7.0,2.0,128.0
22200887,1610612738,BOS,Celtics,39,74,12,28,10,11,13,23,36,21,6,5,11,12,100,0.0,3.0,125.0
22200887,1610612754,IND,Pacers,37,66,17,34,9,12,4,19,23,25,7,5,12,13,100,0.0,3.0,128.0
22200147,1610612754,IND,Pacers,12,23,6,13,2,2,1,10,11,11,2,2,3,2,32,2.0,1.0,129.0
22200147,1610612740,NOP,Pelicans,11,23,7,10,1,2,1,10,11,8,1,1,3,3,30,-2.0,1.0,124.0
22200147,1610612740,NOP,Pelicans,22,47,10,19,1,2,4,17,21,15,2,2,5,7,55,-3.0,2.0,124.0
22200147,1610612754,IND,Pacers,20,42,10,26,8,8,4,20,24,18,2,4,9,7,58,3.0,2.0,129.0
22200147,1610612740,NOP,Pelicans,37,74,11,25,8,10,8,23,31,24,4,3,6,13,93,-7.0,3.0,124.0
22200147,1610612754,IND,Pacers,33,66,19,42,15,16,7,29,36,28,3,6,13,14,100,7.0,3.0,129.0
22200825,1610612748,MIA,Heat,13,19,4,6,9,9,2,9,11,10,2,0,1,5,39,9.0,1.0,118.0
22200825,1610612754,IND,Pacers,12,20,5,9,1,3,0,3,3,9,0,1,2,4,30,-9.0,1.0,111.0
22200825,1610612748,MIA,Heat,22,41,4,9,14,14,6,16,22,15,2,1,4,11,62,-1.0,2.0,118.0
22200825,1610612754,IND,Pacers,24,40,7,12,8,12,0,11,11,16,1,3,2,8,63,1.0,2.0,111.0
22200825,1610612748,MIA,Heat,30,60,5,15,26,27,11,25,36,17,4,3,9,17,91,8.0,3.0,118.0
22200825,1610612754,IND,Pacers,30,59,10,19,13,21,3,17,20,19,2,3,7,16,83,-8.0,3.0,111.0
22200446,1610612754,IND,Pacers,11,24,4,9,2,4,2,8,10,3,2,0,1,6,28,-1.0,1.0,106.0
22200446,1610612752,NYK,Knicks,11,20,3,7,4,9,4,8,12,4,1,3,4,4,29,1.0,1.0,109.0
22200446,1610612752,NYK,Knicks,22,46,4,16,6,11,9,16,25,9,3,7,8,11,54,1.0,2.0,109.0
22200446,1610612754,IND,Pacers,20,47,5,13,8,11,6,18,24,8,3,0,8,11,53,-1.0,2.0,106.0
22200446,1610612752,NYK,Knicks,31,63,5,20,17,24,10,27,37,10,3,8,11,15,84,-1.0,3.0,109.0
22200446,1610612754,IND,Pacers,31,71,12,29,11,14,8,25,33,16,4,0,9,20,85,1.0,3.0,106.0
22200493,1610612752,NYK,Knicks,13,26,5,12,6,8,2,12,14,11,3,1,0,4,37,12.0,1.0,112.0
22200493,1610612755,PHI,76ers,8,19,3,9,6,9,1,8,9,5,0,0,3,6,25,-12.0,1.0,119.0
22200493,1610612752,NYK,Knicks,23,49,8,19,9,11,8,17,25,17,3,1,2,13,63,3.0,2.0,112.0
22200493,1610612755,PHI,76ers,18,35,9,17,15,20,2,14,16,12,1,0,4,12,60,-3.0,2.0,119.0
22200493,1610612752,NYK,Knicks,36,67,11,24,13,15,8,25,33,27,3,4,4,18,96,1.0,3.0,112.0
22200493,1610612755,PHI,76ers,30,56,13,24,22,28,3,18,21,16,2,0,4,16,95,-1.0,3.0,119.0
22201114,1610612747,LAL,Lakers,10,18,3,8,3,5,3,5,8,8,1,0,4,3,26,-3.0,1.0,108.0
22201114,1610612741,CHI,Bulls,12,18,3,6,2,2,0,6,6,10,1,0,2,5,29,3.0,1.0,118.0
22201114,1610612741,CHI,Bulls,27,45,7,15,2,2,3,13,16,19,4,1,3,10,63,8.0,2.0,118.0
22201114,1610612747,LAL,Lakers,20,37,6,17,9,12,5,12,17,12,2,2,10,6,55,-8.0,2.0,108.0
22201114,1610612741,CHI,Bulls,37,65,9,21,8,9,4,24,28,25,7,1,5,18,91,13.0,3.0,118.0
22201114,1610612747,LAL,Lakers,28,55,8,25,14,20,6,21,27,17,2,2,14,13,78,-13.0,3.0,108.0
22201153,1610612751,BKN,Nets,10,22,5,9,0,0,2,9,11,7,2,1,4,3,25,-8.0,1.0,124.0
22201153,1610612737,ATL,Hawks,13,28,4,13,3,5,6,10,16,6,2,0,2,0,33,8.0,1.0,107.0
22201153,1610612737,ATL,Hawks,20,53,4,23,11,13,12,17,29,10,4,0,6,3,55,-4.0,2.0,107.0
22201153,1610612751,BKN,Nets,25,46,9,19,0,2,5,18,23,16,5,2,8,7,59,4.0,2.0,124.0
22201153,1610612737,ATL,Hawks,30,72,6,31,13,15,12,22,34,17,5,1,10,9,79,-22.0,3.0,107.0
22201153,1610612751,BKN,Nets,40,70,14,30,7,9,9,26,35,27,9,2,10,11,101,22.0,3.0,124.0
22201195,1610612742,DAL,Mavericks,12,27,2,12,2,4,5,12,17,5,0,1,2,4,28,1.0,1.0,123.0
22201195,1610612758,SAC,Kings,10,30,4,14,3,4,6,11,17,7,1,0,0,4,27,-1.0,1.0,119.0
22201195,1610612742,DAL,Mavericks,23,46,7,22,7,9,5,16,21,13,0,3,7,9,60,-11.0,2.0,123.0
22201195,1610612758,SAC,Kings,30,59,6,18,5,6,10,17,27,18,4,0,2,8,71,11.0,2.0,119.0
22201195,1610612742,DAL,Mavericks,33,66,13,32,13,16,6,27,33,18,2,6,9,15,92,0.0,3.0,123.0
22201195,1610612758,SAC,Kings,36,84,8,28,12,16,18,24,42,23,6,1,4,14,92,0.0,3.0,119.0
22200908,1610612755,PHI,76ers,12,21,4,7,2,4,2,10,12,7,3,1,4,1,30,2.0,1.0,107.0
22200908,1610612738,BOS,Celtics,11,22,4,8,2,2,1,8,9,5,2,2,4,3,28,-2.0,1.0,110.0
22200908,1610612738,BOS,Celtics,19,42,7,15,5,7,4,18,22,8,2,3,8,11,50,-6.0,2.0,110.0
22200908,1610612755,PHI,76ers,19,40,5,15,13,17,5,19,24,11,6,2,6,6,56,6.0,2.0,107.0
22200908,1610612738,BOS,Celtics,30,63,12,28,8,12,8,28,36,12,5,3,11,16,80,2.0,3.0,110.0
22200908,1610612755,PHI,76ers,27,57,9,25,15,22,5,26,31,15,7,2,9,10,78,-2.0,3.0,107.0
22200516,1610612764,WAS,Wizards,15,24,2,6,4,5,3,9,12,10,2,0,0,1,36,15.0,1.0,127.0
22200516,1610612756,PHX,Suns,9,20,2,6,1,2,2,4,6,5,0,0,4,6,21,-15.0,1.0,102.0
22200516,1610612756,PHX,Suns,22,45,6,14,5,6,4,10,14,15,1,1,4,11,55,-9.0,2.0,102.0
22200516,1610612764,WAS,Wizards,26,46,4,15,8,9,8,16,24,15,2,2,3,5,64,9.0,2.0,127.0
22200516,1610612756,PHX,Suns,33,63,11,23,7,8,5,14,19,23,4,2,9,18,84,-9.0,3.0,102.0
22200516,1610612764,WAS,Wizards,35,62,6,20,17,19,9,21,30,18,6,3,9,10,93,9.0,3.0,127.0
22200131,1610612747,LAL,Lakers,13,24,5,9,3,3,2,5,7,8,2,1,4,3,34,-6.0,1.0,116.0
22200131,1610612762,UTA,Jazz,17,26,4,8,2,2,2,7,9,11,4,2,2,3,40,6.0,1.0,130.0
22200131,1610612747,LAL,Lakers,24,44,7,16,7,8,6,12,18,12,3,4,8,7,62,-13.0,2.0,116.0
22200131,1610612762,UTA,Jazz,31,51,9,17,4,5,6,12,18,16,5,2,3,7,75,13.0,2.0,130.0
22200131,1610612747,LAL,Lakers,35,62,9,19,16,17,7,22,29,18,5,6,11,10,95,-5.0,3.0,116.0
22200131,1610612762,UTA,Jazz,41,79,13,30,5,6,11,18,29,25,8,3,6,14,100,5.0,3.0,130.0
22200683,1610612753,ORL,Magic,9,21,2,6,3,3,1,9,10,9,1,0,5,5,23,-7.0,1.0,123.0
22200683,1610612740,NOP,Pelicans,11,22,2,7,6,8,2,10,12,9,2,1,3,3,30,7.0,1.0,110.0
22200683,1610612740,NOP,Pelicans,22,48,6,17,10,13,6,15,21,17,4,4,5,8,60,4.0,2.0,110.0
22200683,1610612753,ORL,Magic,19,40,7,16,11,12,2,19,21,16,1,2,8,9,56,-4.0,2.0,123.0
22200683,1610612740,NOP,Pelicans,33,71,10,29,15,18,7,21,28,26,8,5,7,15,91,3.0,3.0,110.0
22200683,1610612753,ORL,Magic,28,57,11,22,21,24,4,29,33,21,1,3,13,13,88,-3.0,3.0,123.0
22200742,1610612751,BKN,Nets,12,24,4,9,0,0,4,6,10,7,3,0,1,3,28,6.0,1.0,122.0
22200742,1610612752,NYK,Knicks,8,16,4,9,2,4,1,6,7,4,1,3,4,4,22,-6.0,1.0,115.0
22200742,1610612751,BKN,Nets,23,44,11,21,5,8,5,15,20,15,3,3,4,6,62,13.0,2.0,122.0
22200742,1610612752,NYK,Knicks,18,42,7,14,6,8,7,14,21,10,3,3,7,10,49,-13.0,2.0,115.0
22200742,1610612751,BKN,Nets,34,66,15,30,5,8,7,20,27,25,3,3,6,12,88,7.0,3.0,122.0
22200742,1610612752,NYK,Knicks,31,66,9,21,10,12,12,22,34,13,4,3,8,10,81,-7.0,3.0,115.0
22200611,1610612748,MIA,Heat,11,22,1,7,8,8,4,8,12,6,2,2,3,4,31,5.0,1.0,112.0
22200611,1610612760,OKC,Thunder,9,20,2,7,6,8,2,7,9,8,1,0,4,6,26,-5.0,1.0,111.0
22200611,1610612748,MIA,Heat,18,40,5,16,22,22,7,15,22,9,4,3,9,9,63,7.0,2.0,112.0
22200611,1610612760,OKC,Thunder,21,43,3,15,11,15,4,13,17,15,5,1,8,15,56,-7.0,2.0,111.0
22200611,1610612748,MIA,Heat,25,57,7,23,32,32,9,20,29,13,7,3,14,16,89,1.0,3.0,112.0
22200611,1610612760,OKC,Thunder,34,70,8,28,12,17,12,20,32,23,5,1,13,21,88,-1.0,3.0,111.0
22200809,1610612764,WAS,Wizards,10,19,1,7,4,4,1,9,10,7,0,1,6,7,25,-12.0,1.0,91.0
22200809,1610612739,CLE,Cavaliers,15,23,3,8,4,6,0,7,7,9,3,1,1,3,37,12.0,1.0,114.0
22200809,1610612739,CLE,Cavaliers,27,43,5,13,7,11,2,17,19,16,5,1,6,6,66,20.0,2.0,114.0
22200809,1610612764,WAS,Wizards,18,39,1,14,9,9,2,17,19,9,3,2,9,11,46,-20.0,2.0,91.0
22200809,1610612739,CLE,Cavaliers,38,63,11,25,9,14,4,25,29,23,8,5,10,8,96,24.0,3.0,114.0
22200809,1610612764,WAS,Wizards,28,61,5,23,11,11,4,24,28,17,5,2,13,14,72,-24.0,3.0,91.0
22200269,1610612759,SAS,Spurs,7,23,1,8,4,6,2,8,10,6,3,0,3,5,19,-10.0,1.0,110.0
22200269,1610612740,NOP,Pelicans,11,20,4,10,3,5,2,12,14,9,1,3,5,3,29,10.0,1.0,129.0
22200269,1610612740,NOP,Pelicans,26,44,9,20,5,8,5,16,21,19,3,4,9,9,66,19.0,2.0,129.0
22200269,1610612759,SAS,Spurs,17,41,3,16,10,14,5,13,18,13,5,0,9,8,47,-19.0,2.0,110.0
22200269,1610612740,NOP,Pelicans,38,65,10,25,18,24,7,22,29,26,6,4,15,15,104,19.0,3.0,129.0
22200269,1610612759,SAS,Spurs,32,64,8,25,13,19,5,22,27,25,8,0,14,20,85,-19.0,3.0,110.0
22200069,1610612758,SAC,Kings,11,22,3,11,3,3,1,9,10,9,2,2,3,4,28,-4.0,1.0,110.0
22200069,1610612763,MEM,Grizzlies,13,26,2,6,4,4,2,10,12,7,1,0,3,2,32,4.0,1.0,128.0
22200069,1610612758,SAC,Kings,20,43,6,20,10,11,6,20,26,15,2,2,7,10,56,-7.0,2.0,110.0
22200069,1610612763,MEM,Grizzlies,24,50,7,17,8,10,5,15,20,14,3,0,4,7,63,7.0,2.0,128.0
22200069,1610612758,SAC,Kings,30,64,9,28,14,16,6,27,33,24,3,2,10,17,83,-14.0,3.0,110.0
22200069,1610612763,MEM,Grizzlies,37,73,10,25,13,18,8,26,34,18,3,2,8,13,97,14.0,3.0,128.0
22201192,1610612738,BOS,Celtics,12,23,4,9,3,4,3,9,12,9,3,3,5,1,31,3.0,1.0,97.0
